,location,total_sqft,bath,price,bhk
0,1st Block Jayanagar,2850.0,4.0,428.0,4
1,1st Block Jayanagar,1630.0,3.0,194.0,3
2,1st Block Jayanagar,1875.0,2.0,235.0,3
3,1st Block Jayanagar,1200.0,2.0,130.0,3
4,1st Block Jayanagar,1235.0,2.0,148.0,2
5,1st Block Jayanagar,2750.0,4.0,413.0,4
6,1st Block Jayanagar,2450.0,4.0,368.0,4
7,1st Phase JP Nagar,2825.0,4.0,250.0,4
8,1st Phase JP Nagar,1875.0,3.0,167.0,3
10,1st Phase JP Nagar,2065.0,4.0,210.0,3
11,1st Phase JP Nagar,2024.0,3.0,157.0,3
12,1st Phase JP Nagar,2059.0,3.0,225.0,3
13,1st Phase JP Nagar,1394.0,2.0,100.0,2
14,1st Phase JP Nagar,1077.0,2.0,93.0,2
15,1st Phase JP Nagar,1566.0,2.0,180.0,2
16,1st Phase JP Nagar,840.0,2.0,50.0,1
17,1st Phase JP Nagar,1590.0,3.0,131.0,3
18,1st Phase JP Nagar,2180.0,3.0,210.0,3
19,1st Phase JP Nagar,1180.0,2.0,88.5,2
20,1st Phase JP Nagar,1200.0,2.0,86.0,2
21,1st Phase JP Nagar,1394.0,2.0,85.0,2
22,1st Phase JP Nagar,2077.0,3.0,175.0,3
24,1st Phase JP Nagar,1205.0,2.0,85.0,2
25,1st Phase JP Nagar,2615.0,5.0,222.0,4
26,1st Phase JP Nagar,900.0,2.0,75.0,2
35,2nd Stage Nagarbhavi,1500.0,4.0,220.0,4
36,2nd Stage Nagarbhavi,3000.0,8.0,451.0,6
37,2nd Stage Nagarbhavi,2400.0,8.0,450.0,6
38,2nd Stage Nagarbhavi,1350.0,4.0,200.0,4
39,2nd Stage Nagarbhavi,1200.0,4.0,225.0,4
40,2nd Stage Nagarbhavi,1500.0,3.0,230.0,4
42,5th Block Hbr Layout,1270.0,2.0,70.0,3
43,5th Block Hbr Layout,1312.0,2.0,69.0,2
47,5th Phase JP Nagar,1075.0,2.0,60.0,2
50,5th Phase JP Nagar,1207.0,2.0,63.0,2
51,5th Phase JP Nagar,1725.0,2.0,100.0,3
53,5th Phase JP Nagar,1700.0,2.0,100.0,3
56,5th Phase JP Nagar,600.0,1.0,30.0,1
60,5th Phase JP Nagar,1350.0,2.0,75.0,3
61,5th Phase JP Nagar,552.0,1.0,23.5,1
66,5th Phase JP Nagar,1030.0,2.0,57.0,2
67,5th Phase JP Nagar,1200.0,2.0,68.0,2
68,5th Phase JP Nagar,1190.0,2.0,61.8,2
71,5th Phase JP Nagar,1041.0,2.0,54.0,2
72,5th Phase JP Nagar,812.0,2.0,42.0,2
73,5th Phase JP Nagar,1010.0,2.0,57.0,2
75,5th Phase JP Nagar,1075.0,2.0,60.0,2
76,6th Phase JP Nagar,1192.0,2.0,74.0,2
77,6th Phase JP Nagar,1180.0,2.0,80.0,2
78,6th Phase JP Nagar,3245.0,4.0,250.0,4
79,6th Phase JP Nagar,1645.0,3.0,100.0,3
80,6th Phase JP Nagar,1140.0,2.0,65.0,2
81,6th Phase JP Nagar,2040.0,3.0,200.0,3
82,6th Phase JP Nagar,1213.0,2.0,63.0,2
84,6th Phase JP Nagar,1460.0,2.0,80.0,2
85,6th Phase JP Nagar,2003.0,3.0,200.0,3
86,6th Phase JP Nagar,1810.0,3.0,131.0,3
87,6th Phase JP Nagar,1515.0,2.0,135.0,3
88,6th Phase JP Nagar,1192.0,2.0,75.0,2
89,6th Phase JP Nagar,1280.0,2.0,88.0,2
90,7th Phase JP Nagar,1080.0,2.0,72.0,2
91,7th Phase JP Nagar,1270.0,2.0,93.0,2
92,7th Phase JP Nagar,1420.0,2.0,100.0,3
93,7th Phase JP Nagar,1850.0,3.0,150.0,3
94,7th Phase JP Nagar,1245.0,2.0,94.0,2
95,7th Phase JP Nagar,1175.0,2.0,82.0,2
96,7th Phase JP Nagar,1400.0,2.0,95.0,3
97,7th Phase JP Nagar,2225.0,3.0,160.0,3
98,7th Phase JP Nagar,1050.0,2.0,71.0,2
100,7th Phase JP Nagar,918.0,2.0,50.49,2
